,datetime,value
677,2007-10-24,806764.3877911526
678,2007-10-25,773300.8816442362
679,2007-10-26,769658.9649294963
680,2007-10-29,772357.1504108157
681,2007-10-30,772284.7864834212
682,2007-10-31,774326.5552356153
683,2007-11-01,764979.7895352821
684,2007-11-02,757972.6238253185
685,2007-11-05,758735.6406580806
686,2007-11-06,758124.603365925
687,2007-11-07,757447.2677606886
688,2007-11-08,750023.5198548972
689,2007-11-09,749945.0032159704
690,2007-11-12,750253.460189264
691,2007-11-13,750310.1155517058
692,2007-11-14,749888.3478535286
693,2007-11-15,750117.3686958762
694,2007-11-16,750789.2474783038
695,2007-11-19,750733.2816904512
696,2007-11-20,750743.4916698032
697,2007-11-21,749200.3883498638
698,2007-11-22,747752.63516166
699,2007-11-23,747503.9712664494
700,2007-11-26,747422.8447480226
701,2007-11-27,748574.0674026513
702,2007-11-28,748629.066058335
703,2007-11-29,748782.5779007118
704,2007-11-30,749877.4747526151
705,2007-12-03,749424.0106619077
706,2007-12-04,750642.158479242
707,2007-12-05,750188.5837929479
708,2007-12-06,750167.9779555583
709,2007-12-07,754586.4380218119
710,2007-12-10,760089.2571786948
711,2007-12-11,761670.1599678907
712,2007-12-12,768909.0048895448
713,2007-12-13,753599.0319155818
714,2007-12-14,765090.4654287598
715,2007-12-17,770958.4641207077
716,2007-12-18,765614.4737984037
717,2007-12-19,772182.0634251528
718,2007-12-20,778167.0343561925
719,2007-12-21,789762.7132172022
720,2007-12-24,795247.1618440016
721,2007-12-25,807063.3961072231
722,2007-12-26,817873.6043401873
723,2007-12-27,817285.7236030346
724,2007-12-28,816077.3571161726
725,2008-01-02,845177.4174599538
726,2008-01-03,865434.866490022
727,2008-01-04,875180.6048521062
728,2008-01-07,891597.7348680578
729,2008-01-08,861935.6960190639
730,2008-01-09,893377.6014538121
731,2008-01-10,892209.5922324192
732,2008-01-11,882752.9916295765
733,2008-01-14,910194.1699482212
734,2008-01-15,910823.9841612193
735,2008-01-16,907315.5317785663
736,2008-01-17,888154.3932475038
737,2008-01-18,892311.5593526075
738,2008-01-21,861402.874749426
739,2008-01-22,796978.933851473
740,2008-01-23,822789.5890227979
741,2008-01-24,843742.853981688
742,2008-01-25,835389.9137324757
743,2008-01-28,779126.3902301555
744,2008-01-29,788828.5029342647
745,2008-01-30,796077.5375315924
746,2008-01-31,775241.346631483
747,2008-02-01,760302.1863235671
748,2008-02-04,782682.2798273665
749,2008-02-05,785626.3866942088
750,2008-02-13,781763.763459816
751,2008-02-14,790808.6606487156
752,2008-02-15,793139.7407285263
753,2008-02-18,816513.284196915
754,2008-02-19,828296.7442257358
755,2008-02-20,823328.4280154257
756,2008-02-21,833062.0274588714
757,2008-02-22,817887.756257416
758,2008-02-25,800230.6511226298
759,2008-02-26,801357.5405935575
760,2008-02-27,816228.980760053
761,2008-02-28,825241.8294599234
762,2008-02-29,831754.6445579047
763,2008-03-03,851944.5475563286
764,2008-03-04,855112.3224557143
765,2008-03-05,861034.750621641
766,2008-03-06,852204.4092446717
767,2008-03-07,834414.1401693698
768,2008-03-10,814333.1679372082
769,2008-03-11,818671.1589816853
770,2008-03-12,802571.8447146928
771,2008-03-13,793954.4714197406
772,2008-03-14,793849.406418972
773,2008-03-17,774033.462125218
774,2008-03-18,758445.5384014036
775,2008-03-19,760415.0498890287
776,2008-03-20,764300.3515566902
777,2008-03-21,767017.8456782636
778,2008-03-24,764883.425469304
779,2008-03-25,769424.9827976483
780,2008-03-26,764792.8464020521
781,2008-03-27,749630.7425862704
782,2008-03-28,747538.3677760852
783,2008-03-31,741310.1271641416
784,2008-04-01,738072.5965337784
785,2008-04-02,738437.575628372
786,2008-04-03,738072.4632926366
787,2008-04-07,737493.3195876768
788,2008-04-08,737930.9316391137
789,2008-04-09,736900.2915180838
790,2008-04-10,738700.7594659508
791,2008-04-11,738681.0348309427
792,2008-04-14,739404.9644621423
793,2008-04-15,739226.6490803825
794,2008-04-16,738260.0634318222
795,2008-04-17,738497.5743261748
796,2008-04-18,736292.3692796377
797,2008-04-21,738349.840226532
798,2008-04-22,738312.069984904
799,2008-04-23,737940.6626088973
800,2008-04-24,736957.4558981489
801,2008-04-25,739063.1294345902
802,2008-04-28,741309.0376299364
803,2008-04-29,740672.2251877834
804,2008-04-30,745720.1528595078
805,2008-05-05,750664.7394960487
806,2008-05-06,751390.4071053232
807,2008-05-07,743439.3138562222
808,2008-05-08,754948.040834522
809,2008-05-09,752224.8563534927
810,2008-05-12,762739.6902103988
811,2008-05-13,766485.7255447514
812,2008-05-14,761700.6553169427
813,2008-05-15,758900.074662539
814,2008-05-16,754477.6044023028
815,2008-05-19,750160.328651767
816,2008-05-20,730399.0437131934
817,2008-05-21,737091.8908024163
818,2008-05-22,737190.6965801306
819,2008-05-23,726328.030569414
820,2008-05-26,720161.1001290246
821,2008-05-27,722000.4705774414
822,2008-05-28,723516.1628497132
823,2008-05-29,719092.2222767307
824,2008-05-30,718382.0447408549
825,2008-06-02,719105.4056388083
826,2008-06-03,716687.6528961118
